130819	234500
130820	229000
130821	228500
130822	228000
130823	228500
130826	237000
130827	238000
130828	240500
130829	239500
130830	249000
130902	244500
130903	242500
130904	242500
130905	244000
130906	250500
130909	248000
130910	250000
130911	248000
130912	248000
130913	248500
130916	255500
130917	256500
130923	255000
130924	255000
130925	254000
130926	256500
130927	256500
130930	251000
131001	254500
131002	247500
131004	249500
131007	247500
131008	253500
131010	260500
131011	264500
131014	262000
131015	263500
131016	266000
131017	264500
131018	256500
131021	261000
131022	262500
131023	258500
131024	253500
131025	258500
131028	265000
131029	261500
131030	261000
131031	253000
131101	254000
131104	248000
131105	244500
131106	250000
131107	254000
131108	248500
131111	247500
131112	249000
131113	244000
131114	243000
131115	249000
131118	254000
131119	258500
131120	254500
131121	253500
131122	253000
131125	252500
131126	255000
131127	257500
131128	255000
131129	252000
131202	249500
131203	239000
131204	233000
131205	232500
131206	230000
131209	230000
131210	228500
131211	229000
131212	230000
131213	231500
131216	228000
131217	227000
131218	227500
131219	220500
131220	224500
131223	228500
131224	226000
131226	225500
131227	229500
131230	236500
140102	224500
140103	224000
140106	228500
140107	229000
140108	229500
140109	224500
140110	221000
140113	228000
140114	232000
140115	231000
140116	233000
140117	228500
140120	231000
140121	236000
140122	236500
140123	232000
140124	228000
140127	223500
140128	230500
140129	234500
140203	231500
140204	226000
140205	228500
140206	226500
140207	230500
140210	233500
140211	231000
140212	227500
140213	227000
140214	232500
140217	233000
140218	229500
140219	225500
140220	222000
140221	228000
140224	227500
140225	233000
140226	236500
140227	243500
140228	245000
140303	246000
140304	242000
140305	244500
140306	243500
140307	238500
140310	237000
140311	236500
140312	235500
140313	229000
140314	229000
140317	234000
140318	235000
140319	231000
140320	229500
140321	234500
140324	235500
140325	232500
140326	243000
140327	246000
140328	248000
140331	251000
140401	251500
140402	250000
140403	245500
140404	247500
140407	246500
140408	248500
140409	243500
140410	242500
140411	242000
140414	241500
140415	238000
140416	242000
140417	240000
140418	245000
140421	244000
140422	245000
140423	245000
140424	242000
140425	236000
140428	233500
140429	234000
140430	230000
140502	225000
140507	223000
140508	228500
140509	231500
140512	229500
140513	231500
140514	237500
140515	239500
140516	234500
140519	233500
140520	230000
140521	230500
140522	233000
140523	233000
140526	235000
140527	229000
140528	230000
140529	230000
140530	224500
140602	226500
140603	227000
140605	225000
140609	224000
140610	223000
140611	224000
140612	225000
140613	224000
140616	225000
140617	229500
140618	226000
140619	223500
140620	218000
140623	219500
140624	224500
140625	228500
140626	229500
140627	230000
140630	229500
140701	229000
140702	230500
140703	228000
140704	228000
140707	225500
140708	225500
140709	224000
140710	228500
140711	224000
140714	223000
140715	230000
140716	235000
140717	234000
140718	232500
140721	227500
140722	229000
140723	225500
140724	229000
140725	227500
140728	227000
140729	237500
140730	244500
140731	245500
140801	243500
140804	237500
140805	236000
140806	233000
140807	232000
140808	228500
140811	231000
140812	232000
140813	233500
140814	230000
140818	224000
140819	224500
140820	226000
140821	224000
140822	224500
140825	225000
140826	226000
140827	228000
140828	231000
140829	233000
140901	232000
140902	225500
140903	222000
140904	221500
140905	217500
140911	213500
140912	220000
140915	219500
140916	218500
140917	218000
140918	198000
140919	195000
140922	195500
